"Marital.status","Application.mode","Previous.qualification","Previous.qualification..grade.","Daytime.evening.attendance.","Age.at.enrollment","Gender","Target"
1,17,1,122,1,20,1,"Dropout"
1,15,1,160,1,19,1,"Graduate"
1,1,1,122,1,19,1,"Dropout"
1,17,1,122,1,20,0,"Graduate"
2,39,1,100,0,45,0,"Graduate"
2,39,19,133.1,0,50,1,"Graduate"
1,1,1,142,1,18,0,"Graduate"
1,18,1,119,1,22,1,"Dropout"
1,1,1,137,1,21,0,"Graduate"
1,1,1,138,1,18,0,"Dropout"
1,1,1,139,1,18,0,"Graduate"
1,1,1,136,1,18,0,"Graduate"
1,1,1,133,1,19,0,"Dropout"
1,53,42,110,1,21,0,"Graduate"
1,1,1,149,1,18,0,"Graduate"
1,1,1,127,1,20,0,"Dropout"
1,18,1,137,1,18,0,"Enrolled"
1,17,1,135,1,18,0,"Graduate"
1,1,1,137,1,20,0,"Graduate"
1,1,1,140,1,18,0,"Enrolled"
1,1,1,122,1,21,0,"Graduate"
1,18,1,127,1,20,0,"Enrolled"
1,1,1,142,1,18,0,"Graduate"
1,1,1,125,1,19,0,"Graduate"
1,1,1,126,1,19,0,"Graduate"
1,1,1,151,1,18,0,"Enrolled"
1,17,1,115,1,21,0,"Graduate"
1,1,1,138,1,18,0,"Enrolled"
1,1,1,135,1,20,0,"Graduate"
1,17,1,127,1,19,1,"Enrolled"
1,44,39,150,1,21,1,"Enrolled"
1,51,1,125,1,20,1,"Graduate"
1,1,1,143,1,18,1,"Enrolled"
1,18,1,138,0,19,0,"Graduate"
1,1,1,130,0,34,1,"Graduate"
1,39,1,130,1,37,1,"Dropout"
1,39,10,133.1,1,43,1,"Dropout"
1,43,1,140,1,55,0,"Dropout"
4,39,1,120,0,39,0,"Graduate"
1,44,39,120,1,20,0,"Dropout"
1,1,1,126,1,18,0,"Dropout"
1,1,1,133,1,22,0,"Graduate"
1,1,1,103,1,22,0,"Graduate"
1,17,1,120,1,20,0,"Dropout"
1,39,1,133.1,0,29,0,"Dropout"
1,17,1,154,0,24,0,"Enrolled"
1,17,1,130,1,18,0,"Graduate"
1,17,1,132,1,22,0,"Graduate"
1,44,39,130,0,21,0,"Graduate"
1,1,1,139,1,19,0,"Graduate"
1,39,1,130,1,24,0,"Graduate"
1,1,1,139,1,19,0,"Enrolled"
1,1,1,127,1,20,0,"Enrolled"
1,1,1,167,1,19,0,"Graduate"
1,39,1,130,0,27,0,"Dropout"
1,1,1,130,1,18,0,"Graduate"
2,7,3,130,1,39,0,"Dropout"
1,39,40,129,1,27,0,"Dropout"
1,17,1,141,1,18,0,"Graduate"
1,1,1,125,1,18,0,"Enrolled"
1,1,1,125,1,18,0,"Graduate"
1,44,39,130,1,21,0,"Graduate"
1,17,1,133,1,19,1,"Enrolled"
1,17,1,127,1,19,1,"Enrolled"
1,43,1,116,1,24,1,"Enrolled"
4,42,19,133.1,1,29,1,"Dropout"
1,1,1,139,1,19,1,"Graduate"
1,44,39,130,1,23,1,"Graduate"
1,1,1,125,1,19,1,"Dropout"
1,39,1,160,1,26,1,"Enrolled"
1,17,1,148,1,18,1,"Enrolled"
1,17,1,150,1,24,1,"Graduate"
1,1,1,141,1,19,1,"Dropout"
1,17,1,118,1,18,1,"Dropout"
1,1,1,142,1,18,1,"Graduate"
1,17,1,120,1,18,1,"Dropout"
1,18,1,106,1,21,1,"Dropout"
1,17,1,121,1,19,1,"Graduate"
1,17,1,150,1,22,1,"Graduate"
2,39,1,120,0,33,1,"Graduate"
1,1,1,114,1,20,1,"Dropout"
1,39,2,140,0,35,1,"Dropout"
1,39,4,160,1,24,1,"Dropout"
1,17,1,120,1,18,1,"Enrolled"
2,39,1,130,0,33,0,"Graduate"
1,42,1,160,1,22,0,"Graduate"
1,39,1,120,1,25,0,"Graduate"
1,17,1,124,1,20,1,"Graduate"
1,1,1,143,1,23,1,"Enrolled"
1,43,1,115,1,18,1,"Enrolled"
1,39,1,133.1,1,24,1,"Dropout"
1,17,1,133.1,1,21,0,"Graduate"
1,15,1,133.1,1,26,0,"Dropout"
2,39,10,133.1,1,39,0,"Dropout"
2,39,1,133.1,0,44,0,"Graduate"
1,15,1,130,1,19,1,"Enrolled"
1,1,1,135,1,18,0,"Graduate"
1,1,1,132,1,18,0,"Graduate"
1,1,1,135,1,19,0,"Enrolled"
1,1,1,115,1,19,0,"Dropout"
1,53,42,130,1,21,0,"Dropout"
1,1,1,133.1,1,20,0,"Graduate"
2,39,1,130,0,36,0,"Dropout"
4,39,12,133.1,1,43,0,"Graduate"
1,18,1,123,1,19,0,"Dropout"
1,51,1,130,1,20,0,"Graduate"
1,1,1,122,1,19,0,"Dropout"
1,1,1,113,1,20,0,"Dropout"
1,1,1,111,1,20,0,"Dropout"
1,17,1,133.1,1,20,0,"Enrolled"
1,1,1,142,1,18,0,"Graduate"
